id,department,title,code,civil,union,hours_min,hours_max,posted,due,pay_min,pay_max,requirements,responsibilities,preferred,type,open
2982,Police Department,Account Clerk,C176-016,TRUE,Teamsters Local 25,NA,37.5,2022-12-14,2022-12-29,20.630000000000003,28.18,"Proficient in Microsoft applications particularly Excel and Word.
Strong communication skills, both written and verbal.
Well-organized with good record keeping skills.
Demonstrated customer service experience.
Must be able to deal with the diverse general public in a professional manner. 
Good problem-solving techniques.
At least one-year administrative support experience in accounts payable/receivable, finance, and/or debt collection.
As part of the interview process, the City may require candidates to take and pass a computer skills proficiency test in Microsoft Outlook and Excel.
Bachelors' degree in accounting or related field preferred. 
Quicken experience preferred.
PeopleSoft Financials experience","Under the supervision of the Commanding Officer of Administration, this position will be working in the Records and Detail Office in conjunction with the Office of Planning, Budget, and Personnel. The responsibilities for this position are as follows:
Provide customer service to the public who phone and/or visit the Police Department for assistance and/or information relating to the billing and collection of revenue for the department working in the Records Management Unit.
Perform various duties associated with daily operations of the Detail Office, Records Management Unit and Office of Planning, Budget & Personnel.
Perform daily cashier duties including sole responsibility for processing and balancing payments for services and other department revenues; accounting for receipt and disbursement of cash transactions; and reconciling cash management system and account statements for the unit.
Use department PeopleSoft system as well as Quicken and Microsoft Office, including MS Word and Excel for financial tracking purposes. Responsible for vendor contact information and researching vendor payment situations. Resolve billing problems with outside vendors. Track, monitor and make payments through department wide services.
Maintain vendor accounts for tracking accounts payable/receivable such as false alarm, towing and other accounts receiveables.
Process bills received and prepare payment schedules for vendors.
Manage debt collection with unresolved vendor accounts. 
Maintain a computerized detailed list for billing/vendor accounts. Maintain regular communication with vendors through daily contacts.
Accounts Receivable tracking of vendor calls for debt collection and maintaining accurate files when invoices are paid.
Report monthly on accounts receivable, complaint issues both resolved and pending. Share responsibility for planning and preparation of monthly and quarterly reports.
Perform weekly audit of outstanding vendor accounts. 
Process payments and refunds for bill reconciliation.
Work with Office of Planning, Budget and Personnel on related issues and projects.
Maintain filing for all vendor accounts in Records and Detail Office. 
Prepare Form 20s, Forms 21s, and other documents for processing revenue.
Research fiscal records, use FS/PeopleSoft computer program to provide fiscal information for payments and revenue.
Act as a liaison with other City departments in particular Payroll, Auditing and Finance.
Perform administrative duties associated with the Detail Office.
Perform other tasks and other administrative duties as assigned.
Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.",NA,wage,TRUE
2979,Human Service Programs,Administrative Assistant – Division of Community Schools,M501-703,FALSE,NA,NA,37.5,2022-12-13,2023-01-10,2700,53224,"Education and Experience
Minimum of 5 years of experience in an office setting
Experience working with multiple diverse populations
Knowledge, Skills, and Abilities
Proficiency in Microsoft Word, Excel, Publisher and Smartsheet
Knowledge of Department-wide online system for enrollment, TRAX
Strong communication and interpersonal skills
Proven ability to provide leadership with collaborative projects
The City of Cambridge's workforce, like the community it serves, is diverse. Applicants must have the ability to work and interact effectively with individuals and groups with a variety of identities, cultures, backgrounds, and ideologies.
Bachelor's degree in related field or the equivalent combination of education, training, and experience","Reporting to the Division Head for the Community Schools, the Administrative Assistant's specific duties include, but are not limited, to the following:
Administrative
Provide administrative support to the division head, program managers and Community School directors
Manage and maintain database of camp license documentation and required staff documents related to State License of Community Schools Summer Camps (CORI/SORI, reference letters, health records, CPR & First Aid Certification)
Work with the Communications Manager to develop outreach materials and communications plan
Assist Community Schools directors with the staff hiring process for the After School Enrichment Program and Summer Camp as needed
Record all staff requests for time off on a central calendar, retain calendars for division records
Participation at job fairs and city events
Actively engage in and support DHSP's Race and Equity Initiative
Fiscal/Payroll
Assume overall responsibility for vendor contracts, prepare contracts for vendor organizations, submit invoices for payment to fiscal department, and track monthly expenditures
Perform monthly tuition billing for all programs in collaboration with Community Schools directors
In conjunction with the division head and program managers, close out all contract cost centers at the end of the fiscal year
Track all payroll activities, notify Community Schools directors of new employee identification numbers and when active in payroll system
Distribute staff weekly payroll checks and direct deposit stubs
Recordkeeping/Reports
Participate in the Community Schools enrollment lottery process, including planning, data collection and reporting, communicating with families and working with programs
Assist with data collection and analysis
Coordinate with DHSP facility manager all requests for maintenance, repairs, and delivery of supplies for Community Schools Division
Submit to School Department permit requests for use of school space; be responsible for maintaining records of approved and pending permits for each Community Schools site
Design templates of various administrative forms; create share drive access by all Community Schools staff
Reasonable accommodations will be made to enable qualified individuals with disabilities to perform essential job functions.",NA,salary,TRUE
2964,Human Service Programs,"Administrative Assistant, Cambridge Youth Programs",M558-701,FALSE,NA,NA,30,2022-11-22,2022-12-13,22.73,26.939999999999998,"Must be well organized, reliable, and prompt. Have excellent interpersonal skills, be familiar with Microsoft Office and be able to work cooperatively with a diverse group of people. HS diploma/GED required. The City of Cambridge's workforce, like the community it serves, is diverse. Applicants must have the ability to work and interact effectively with individuals and groups with a variety of identities, cultures, backgrounds, and ideologies.","ESSENTIAL DUTIES AND RESPONSIBILITIES: Act as administrative support to the Division of Youth Programs, performing daily reception and administrative tasks including but not limited to:
Answer phone calls and emails and respond to caregiver inquiries.
Direct individual to appropriate services or staff.
Provide admin/clerical support to Cambridge Youth Programs' Leadership Staff.
Sort and distribute payroll for division and provide support for communication and collection of tuition fees for Youth Center Directors.
Create and maintain systems.
Manage and order supplies and equipment.
Maintain events calendar.
Perform event planning, recruitment, and meeting support.
Actively engaging in and supporting the Department's Race and Equity Initiative.
Work collaboratively with partners and other departments.
Provide general administrative and office support as needed.
Support Youth Centers in-person and onsite when necessary.
Maintaining social media and supporting communication's plan.
Other duties as assigned.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",NA,wage,TRUE
2908,Human Service Programs,"Afterschool Assistant Teacher, Childcare & Family Support Services",M444-709,FALSE,NA,NA,19.5,2022-10-26,NA,20.130000000000003,22.84,"Be at least 18 years of age. Have an interest and ability to work with children. Be first aid trained within 6 months of hire. Additional training and experienced preferred. The City of Cambridge's workforce, like the community it serves, is diverse. Applicants must have the ability to work and interact effectively with individuals and groups with a variety of identities, cultures, backgrounds, and ideologies.","Be involved with the children as a caring and respectful adult, facilitate their play, respond with sensitivity to their needs, help them to remember and observe the limits of the program.
Assist the Head Teacher and Teacher with the overall supervision of the classroom, be aware of the environment and alert to situations that may result in conflicts between children and/or those which may be unsafe.
Assist staff in conducting activities in curriculum areas such as arts & crafts, music, sports, science, and games.
Participate in the development of curriculum plans, as schedule permits.
Share responsibility for snack preparation and clean up.
Supervise children's outdoor play and assist other staff in supervision of field trips.
Participate in weekly staff meetings with the Head Teacher and Teacher.
Provide care of children during parent meetings (held every six weeks to two months).
Pick up children at bus stops or classrooms (depending on need).
Be available for extended hours during school vacation weeks.
Participate in ongoing program quality improvement efforts, including classroom observations, debriefs of observations, action planning, and participation in a peer learning community.
Maintain a neat classroom environment, including daily cleaning of classroom (sweeping, vacuuming, mopping of spills, etc. and periodic major clean-up). Help to build in children's regular participation in the clean-up and maintenance of the classroom into the program structure.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",NA,wage,TRUE
2898,Human Service Programs,"Afterschool Head Teacher, Childcare & Family Support Services",D447-705,FALSE,Local 1596,NA,36,2022-10-26,NA,24.759999999999998,28.97,"Be 21 years of age or older. Minimum of bachelor's degree with 6 months half-time experience, associate's degree and 9 months half-time experience, or HS Diploma/GED and one year of related experience. Be first Aid and CPR trained within 6 months of hire. Additional training and experience preferable.","ESSENTIAL DUTIES AND RESPONSIBILITIES: Under the supervision of the Afterschool Manager, the Head Teacher will:
Design a developmentally sound curriculum to enhance the social, physical, academic, intellectual wellbeing of children in his/her care. Curriculum should emphasize the development of social skills, increase children's self-esteem, recognize the children's interests, and build a sense of community within the group.
Plan and implement activities to achieve curriculum goals in an informal, secure, and loving atmosphere appropriate to after-school hours.
Design and arrange classroom space to allow for a variety of activities that promote children's independence in using the classroom.
Supervise Teacher, Assistant Teacher, and any other support staff, conduct weekly team meetings for planning and supervision and keep logs of such meetings. Conduct regularly scheduled individual supervision meetings with Teachers and Assistant Teachers. Provide ongoing support and direction to staff.
Ensure that all teachers are creating links with public school classroom teacher regarding children's academic, social, educational, and physical needs. Perform regular school day classroom observations.
Create opportunities for collaborations/partnerships with other Department of Human Service Programs' youth serving divisions in order to better serve Cambridge children and families.
Have a working knowledge of EEC licensing regulations and adhere to those regulations as well as DHSP policies and procedures.
Maintain regular communications with parents through daily contacts and conversation and periodic parent meetings/conferences. Solicit parent input on their child in order to individualize behavioral and instructional approaches. Host three parent nights per school year.
Perform written progress reports of each child twice yearly.
Maintain a neat classroom environment, including daily cleaning of the classroom (sweeping, vacuuming, mopping of spills, etc. and periodic major clean up). Build in children's regular participation in the cleanup and maintenance of the classroom into the program structure.
Do a general safety check of the facility daily including locking doors, and setting alarm (if necessary).
Maintain a safe classroom environment, free from hazardous materials or equipment. Inform the Afterschool Manager when repairs are needed.
Complete and submit to Afterschool Manager for approval, prior to distribution of monthly program calendars, monthly parent newsletter, and parent notices.
Participate in meetings called by Division Head or Afterschool Manager as curriculum meetings, training workshops, or policy review sessions or required DHSP orientation training.
Participate in other available workshops and training programs as schedule permits.
Participate in program-related meetings: parent meetings, meeting with Afterschool Manager, meetings with program consultants.
Participate in and help to lead ongoing program quality improvement efforts, including classroom observations, debriefs of observations, action planning, and participation in a peer learning community.
Participate in hiring and training new staff, when appropriate.
Conduct onsite orientation for new staff.
Plan and coordinate arrangements for field trips.
Coordinate the pick-up of children from bus stops, kindergarten classrooms, and/or other locations.
Order food, plan and serve a nutritious afternoon snack each day. Prepare menus and documentation for the nutrition program, according to the Bureau of Nutrition guidelines.
Perform written evaluations of Teacher, Assistant Teacher, and any additional support staff twice yearly.
Respond to children's academic needs by providing homework help and linking school-age curriculum to day school curriculum whenever possible.
Maintain a working knowledge of program expenditures, keeping such expenditures in accordance with program budgets. Order curriculum materials and other classroom supplies.
Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.",NA,wage,TRUE
2895,Human Service Programs,"Afterschool Instructors (part-time), Division of Community Schools",X161,FALSE,NA,NA,19.5,2022-07-22,NA,NA,22,"Be at least 18 years of age. Have at least one year of experience working with school age children. Experience working with children with special needs desirable and should have a strong interest in working with children from diverse cultural & economic backgrounds. First Aid and CPR certification highly desired (First Aid & CPR training available upon hire). The City of Cambridge's workforce, like the community it serves, is diverse. Applicants must have the ability to work and interact effectively with individuals and groups with a variety of identities, cultures, backgrounds, and ideologies.
Special Requirements:
Criminal Offender Record Information (CORI) and Sexual Offender Record (SORI) required. Physical and TB Test required.","Assist in the operation of your assigned classroom.
Work to implement a quality age-appropriate curriculum for afterschool.
Directly supervise the safety of children.
Participate in all program activities.
Help create an environment that fosters a positive self-image and respects the social and cultural differences of each child and values each child's strengths, needs, differences, and similarities.
Maintain an open, friendly, on-going communication with parents about the progress of participants.
Supervise participants during snack/lunch periods.
Take daily attendance.
Participate in scheduled staff meetings and professional development.
Responsible for classroom maintenance, equipment, and supplies.
Report any out-of-the-ordinary incidents and accidents to program administrators.
Be available for some special events, Early Release Days, staff meetings.
Follow and uphold all COVID 19 safety protocol and guidelines as outlined by the Dept. of Health and Safety, the Department of Human Service Programs, and the Cambridge Public Schools.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",NA,wage,TRUE
2894,Human Service Programs,"Afterschool Lead Instructors (part-time), Division of Community Schools",X162,FALSE,NA,NA,19.5,2022-07-22,NA,NA,24,"Be at least 20 years of age. Have at least one-year experience working with school age children. Experience working with children with special needs desirable and should have a strong interest in working with children from diverse cultural & economic backgrounds. First Aid and CPR certification highly desired (First Aid & CPR training available upon hire). The City of Cambridge's workforce, like the community it serves, is diverse. Applicants must have the ability to work and interact effectively with individuals and groups with a variety of identities, cultures, backgrounds, and ideologies.
Special Requirements:
Criminal Offender Record Information (CORI) and Sexual Offender Record (SORI) required. Physical and TB Test required.","Be responsible for the overall management of your assigned afterschool enrichment class.
Supervise and manage assistants and high school youth assigned to the classroom.
Develop and implement a quality age-appropriate curriculum in a specialty area for twelve-week sessions.
Directly supervise the safety of children.
Participate in all program activities.
Help create an environment that fosters a positive self-image and respects the social and cultural differences of each child and values each child's strengths, needs, differences, and similarities.
Maintain an open, friendly, on-going communication with families about the progress of participants.
Supervise participants during snack/lunch periods.
Take daily attendance.
Participate in scheduled staff meetings and professional development.
Responsible for classroom maintenance, equipment, and supplies.
Report any out-of-the-ordinary incidents and accidents to program administrators.
Be available for some Early Release Day events, February and April School vacation weeks and evening events.
Follow and uphold all COVID 19 safety protocol and guidelines as outlined by the Dept. of Health and Safety, the Department of Human Service Programs, and the Cambridge Public Schools.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",NA,wage,TRUE
2919,Human Service Programs,"Afterschool Teacher , Childcare & Family Support Services",D446-701,FALSE,Local 1596,NA,30,2022-10-26,NA,20.93,24.25,"Be 21 years of age. Associate's degree required, Bachelor's degree preferred, and 3 months of half-time experience with school-age children or related experience. Be First Aid trained within 3 months of hire. Additional training and experience preferable.","ESSENTIAL DUTIES AND RESPONSIBILITIES: Under the supervision of the Head Teacher & in conjunctionwith the Afterschool Manager, the Teacher will:
Share responsibility for designing a developmentally sound curriculum to enhance the social, physical, academic, and intellectual well-being of children in his/her care. Curriculum should emphasize the development of social skills, increase children's self-esteem, recognize children's interests, and build a sense of community within the group.
Plan and implement age appropriate large and small group activities to achieve curriculum goals in an informal, secure, and loving atmosphere appropriate to after school hours.
Help maintain regular communication with parents through daily contacts and conversation. Solicit parent input on their child in order to individualize behavioral and instructional approaches. With the Head Teacher, host three parent nights per school year.
Support the Head Teacher in creating links with the public-school classroom teachers and administrators regarding children's academic, social, educational, and physical needs. Perform regular school day classroom observations.
With Head Teacher, create opportunities for collaborations/partnerships with other Department of Human Service Programs' youth serving divisions in order to better serve Cambridge children and families.
Participate in program-related meetings: parent meetings, meeting with Afterschool Manager, meetings with program consultants.
Participate in meetings called by Division Head or Afterschool Manager such as: curriculum meetings, training workshops, policy review, or DHSP required orientation sessions.
Participate in other available workshops and training programs as schedule permits.
Meet children at bus stop, kindergarten classrooms and/or other locations for safety. Escort them to program locations.
During the absence of the Head Teacher, perform the necessary tasks to have a successful Afterschool day, which includes the supervision of Assistant Teacher and any other support staff and upholding EEC regulations and DHSP policies and procedures.
Participate in ongoing program quality improvement efforts, including classroom observations, debriefs of observations, action planning, and participation in a peer learning community.
Assist the Head Teacher with the completion of child progress reports and monthly parent newsletters.
Maintain a neat classroom environment, including daily cleaning of classroom (sweeping, vacuuming, mopping of spills, etc. and periodic major clean-up). Help to build in children's regular participation in the clean-up and maintenance of the classroom into the program structure.
Share responsibility for planning and preparation of nutritious afternoon snack.
Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.",NA,wage,TRUE
2929,Community Development Department,ARPA Projects Intern,X237,FALSE,NA,0,19.5,2022-09-14,2022-10-05,NA,17.19,"Bachelor's or Associates degree from an accredited college or university, with major course of work in business or public administration, finance, purchasing, or a closely related field or equivalent combination of training, experience, and/or education.
One to two (1-2) years of professional experience in administration of contracts, analysis and evaluation of grant documents, and review of contracts strongly preferred.
ARPA Projects Intern must be proficient with Microsoft Office software; familiarity with some special spreadsheet functions is needed to perform successfully.
Excellent organizational and time management skills; ability to manage workflow with multiple milestones.
Ability to effectively communicate with the public, one-on-one, and in interdisciplinary groups.
Ability to work well with individuals and groups from diverse backgrounds.
The City of Cambridge's workforce, like the community it serves, is diverse. Applicants must have the ability to work and interact effectively with individuals and groups with a variety of identities, cultures, backgrounds, and ideologies.","The intent of this job description is to provide a representative summary of the major duties and responsibilities performed by incumbents of this position.
Draft documentation and assist with administration of small business grant contracts; assure compliance with the terms and conditions of grant criteria and guidelines, and other ARPA beneficiary requirements
Review grant applications for accuracy and work with grant beneficiaries to ensure correct documentation. Work with City staff and business owners to ensure award contracts are executed and scanned.
Work with business owners and other beneficiaries to ensure proper use of ARPA funds.
Update digital or manual spreadsheets of applications and contracts.
Work with Finance and/or other City departments to review vendor payment sheets, ensure they are correct, and resolve any issues or errors prior to final payment.
Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.",NA,wage,TRUE
2942,Electrical Department,Assistant City Electrician,M078-701,FALSE,NA,NA,37.5,2022-09-29,2022-10-27,95052,112589,"High School Diploma or GED.
Knowledge of Massachusetts State Electrical Code.
Knowledge of Municipal signal systems, fiber cable networks, local network cabling and fire and security building systems.
Knowledge of utility work for electric and communications installation in or above the public way.
Knowledge of Telephone systems.
A minimum of at least five years' experience supervising personnel.
Demonstrated ability to effectively manage the daily operation of the department.
Demonstrated ability to make decisions in the field related to streetlight repair and installations.
Ability to operate a bucket truck, climb ladders, staging and use personnel lifts.
The City of Cambridge's workforce, like the community it serves, is diverse. Applicants must have the ability to work and interact effectively with individuals and groups with a variety of identities, cultures, backgrounds, and ideologies.
LICENSE(S) OR CERTIFICATION REQUIREMENTS:
Valid Massachusetts State Electrician License required.
Certification in OSHA 30 Step Safety and Health Training Course.
Knowledge of traffic management plans for work in the public way.
Familiarity with Microsoft applications, particularly Excel and Word.
Valid Massachusetts Hoisting Class 1B.",NA,NA,salary,TRUE
